annotation_key,controller,uso_total,nginx_ingresses,kong_ingresses,valores_distintos,exemplos_de_valores,exemplos_de_ingresses
nginx.ingress.kubernetes.io/cors-allow-origin,nginx,6,6,0,3,"*; https://devcenter-stg.rdstation.com.br,https://devcenter.rdstation.com.br; https://devcenter.rdstation.com.br",fronthub/front-hub-internal-rdops-systems; dev-center-backend/dev-center-api-ingress; dev-center-backend/dev-center-api-ingress
nginx.ingress.kubernetes.io/auth-realm,nginx,6,6,0,2,Authentication Required; Authentication Required - ipconfig,internaltools/synthetics-app; internaltools/synthetics-app-auth; core/rd-chat-api-tallos
nginx.ingress.kubernetes.io/auth-secret,nginx,6,6,0,4,ipconfig-basic-auth; synthetics-basic-auth; token-secret-tallos; token-secret-tallos-v000,internaltools/synthetics-app; internaltools/synthetics-app-auth; core/rd-chat-api-tallos
nginx.ingress.kubernetes.io/auth-type,nginx,6,6,0,1,basic,internaltools/synthetics-app; internaltools/synthetics-app-auth; core/rd-chat-api-tallos
nginx.ingress.kubernetes.io/send_timeout,nginx,6,5,0,1,15600,internaltools/synthetics-app-auth; core/ipconfig; core/ipconfig-health-check
nginx.ingress.kubernetes.io/proxy-buffer-size,nginx,5,4,0,1,2048k,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal; accounts-auth/a3s-api
nginx.ingress.kubernetes.io/proxy-buffers-number,nginx,5,4,0,1,32,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal; accounts-auth/a3s-api
nginx.ingress.kubernetes.io/proxy-next-upstream-tries,nginx,5,4,0,1,8,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal; accounts-auth/a3s-api
meta.helm.sh/release-name,other,5,4,0,4,atlantis; cdc-migrator; devlake; n8n-mid-mkt,migrator/cdc-migrator-web; devlake/devlake; atlantis/atlantis
meta.helm.sh/release-namespace,other,5,4,0,4,atlantis; devlake; migrator; n8n-automation-mid-mkt,migrator/cdc-migrator-web; devlake/devlake; atlantis/atlantis
kubernetes.io/ingress.global-static-ip-name,other,5,5,0,1,ip-devops,internaltools/oraculo; spinnaker/ingress; jenkins/ingress
nginx.ingress.kubernetes.io/proxy-max-temp-file-size,nginx,4,4,0,1,2048m,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal; accounts-auth/a3s-api
ingress.kubernetes.io/rewrite-target,kong,4,3,0,2,/; /$1,kafka/kafka-dashboard; accounts-auth/rd-auth; accounts-auth/rd-auth
nginx.ingress.kubernetes.io/cors-allow-credentials,nginx,4,4,0,1,true,email/email-validator; multi/multichannel-api; dev-center-backend/dev-center-api-ingress
ingress.kubernetes.io/whitelist-source-range,kong,4,4,0,1,10.0.0.0/8,attract/showcase-backend-rails-internal; connect/appstore-interno; convert/form-integrations-api-internal
nginx.ingress.kubernetes.io/ssl-protocols,nginx,3,2,0,1,TLSv1.2 TLSv1.3,pope/sidekiq-dashboard-oauth; pope/sidekiq-dashboard-oauth; sre/sidekiq-dashboard-oauth
ingress.kubernetes.io/use-regex,kong,3,3,0,1,true,accounts-auth/rd-auth; accounts-auth/rd-auth; accounts-auth/rd-auth
nginx.ingress.kubernetes.io/limit-rpm,nginx,3,2,0,2,1000; 5,platform/event-api-internal; contact-mgmt/event-api-internal; rdsm/web-signup-user
nginx.ingress.kubernetes.io/keepalive,nginx,2,2,0,1,64,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal
nginx.ingress.kubernetes.io/keepalive-timeout,nginx,2,2,0,1,120,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal
nginx.ingress.kubernetes.io/proxy-next-upstream,nginx,2,2,0,1,error timeout invalid_header http_502 http_503 http_504,accounts-auth/a3s-api-internal; accounts-auth/a3s-api-internal
nginx.ingress.kubernetes.io/default-backend,nginx,2,2,0,1,saas-internal,billing/saas-internal; rms/contas-staging
nginx.ingress.kubernetes.io/auth-response-headers,nginx,2,2,0,1,Authorization,crm/web-sidekiq-oauth; crm/web-sidekiq-oauth
nginx.ingress.kubernetes.io/cors-allow-methods,nginx,2,2,0,1,"GET, POST, PUT, PATCH, DELETE, OPTIONS",dev-center-backend/dev-center-api-ingress; dev-center-backend/dev-center-api-ingress
nginx.ingress.kubernetes.io/cors-max-age,nginx,2,2,0,1,86400,dev-center-backend/dev-center-api-ingress; dev-center-backend/dev-center-api-ingress
nginx.ingress.kubernetes.io/cors-allow-Origin,nginx,2,2,0,1,*,attract/showcase-backend-rails-internal; attract/showcase-backend-rails-public
nginx.ingress.kubernetes.io/limit-burst-multiplier,nginx,2,1,0,1,2,platform/event-api-internal; contact-mgmt/event-api-internal
konghq.com/methods,kong,2,0,2,1,GET,platagen2520/flask-rota-simples; platagen2520/flask-service-argparse
nginx.ingress.kubernetes.io/compute-full-forwarded-for,nginx,1,0,0,1,true,elasticsearch/kibana-es-cm-usc1-prd-midmarket-01
nginx.ingress.kubernetes.io/use-forwarded-headers,nginx,1,0,0,1,true,elasticsearch/kibana-es-cm-usc1-prd-midmarket-01
kubernetes.io/ingress.ingressClassName,other,1,0,0,1,nginx,elasticsearch/kibana
nginx.ingress.kubernetes.io/affinity,nginx,1,1,0,1,cookie,devexp/backstage
nginx.ingress.kubernetes.io/session-cookie-expires,nginx,1,1,0,1,1h,devexp/backstage
nginx.ingress.kubernetes.io/session-cookie-max-age,nginx,1,1,0,1,3600,devexp/backstage
nginx.ingress.kubernetes.io/session-cookie-name,nginx,1,1,0,1,backstage_session,devexp/backstage
nginx.ingress.kubernetes.io/priority,nginx,1,1,0,1,100,internaltools/oraculo-admin
nginx.ingress.kubernetes.io/proxy-hide-headers,nginx,1,1,0,1,"X-Frame-Options, Content-Security-Policy",internaltools/oraculo-admin
nginx.ingress.kubernetes.io/proxy-intercept-errors,nginx,1,1,0,1,false,internaltools/oraculo-admin
nginx.ingress.kubernetes.io/reload-ts,nginx,1,1,0,1,1763131917,connect/rdpress-auth-rdops-systems
nginx.ingress.kubernetes.io/denylist-source-range,nginx,1,1,0,1,179.190.144.219/32,rdsm/rdsm-web-webhook
kubernetes.io/ingressClassName,other,1,0,0,1,nginx,elasticsearch-leadgen/es-leadgen-prd-01
nginx.ingress.kubernetes.io/canary,nginx,1,1,0,1,true,crm/web-canary
nginx.ingress.kubernetes.io/canary-weight,nginx,1,1,0,1,30,crm/web-canary
nginx.ingress.kubernetes.io/load-balance,nginx,1,1,0,1,ewma,email/neek-api
nginx.ingress.kubernetes.io/mirror-request-body,nginx,1,1,0,1,true,mirror-test/echo-ingress
nginx.ingress.kubernetes.io/mirror-target,nginx,1,1,0,1,http://echo-mirror.mirror-test.svc.cluster.local$request_uri,mirror-test/echo-ingress
nginx.ingress.kubernetes.io/health-check-path,nginx,1,1,0,1,/sidekiq/stats,rms/cap-hook
