controller,annotation,qtd_ingresses,pct_do_total,valores_distintos,valores_encontrados,exemplos_de_ingresses
kong,ingress.kubernetes.io/https-forwarding-rule,6,1.0%,6,k8s-fws-kong-api-gateway--0b06ba8d05326855 | k8s2-fs-3583siai-kong-api-gateway-8tt4frcg | k8s2-fs-cbdlf969-kong-api-gateway-5dmshybw | k8s2-fs-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-fs-n8kcj5wd-elasticsearch-kibana-80dkhd60 | k8s2-fs-q7jh97t3-mushin-basic-analytics-ingress-197m56bh,kong/api-gateway | analyze/basic-analytics-ingress | elasticsearch/kibana-es-cm-ent-01
kong,ingress.kubernetes.io/https-target-proxy,6,1.0%,6,k8s-tps-kong-api-gateway--0b06ba8d05326855 | k8s2-ts-3583siai-kong-api-gateway-8tt4frcg | k8s2-ts-cbdlf969-kong-api-gateway-5dmshybw | k8s2-ts-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-ts-n8kcj5wd-elasticsearch-kibana-80dkhd60 | k8s2-ts-q7jh97t3-mushin-basic-analytics-ingress-197m56bh,kong/api-gateway | analyze/basic-analytics-ingress | elasticsearch/kibana-es-cm-ent-01
kong,ingress.kubernetes.io/ssl-cert,6,1.0%,6,"k8s-ssl-fb53af87bd7b6e14-366fb88e5011671d--0b06ba8d05326855, | k8s2-cr-3583siai-23nubgj20ph16vc6-b7e53ef05ff5d89e,k8s2-cr-3 | k8s2-cr-cbdlf969-bqyn93j5xtp6h6b6-33647a9635c68148,k8s2-cr-c | k8s2-cr-n3ea0enz-918r9bbyu50xg58p-76a3e4c887e005f9 | k8s2-cr-n8kcj5wd-9d6ej76v603lpivh-6ac28f49523a7a5e | k8s2-cr-q7jh97t3-n9be43vcxyz4s2qf-5b905f9d6299e231",kong/api-gateway | analyze/basic-analytics-ingress | elasticsearch/kibana-es-cm-ent-01
kong,ingress.kubernetes.io/static-ip,6,1.0%,6,k8s-fw-kong-api-gateway--0b06ba8d05326855 | k8s2-fr-3583siai-kong-api-gateway-8tt4frcg | k8s2-fr-cbdlf969-kong-api-gateway-5dmshybw | k8s2-fr-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-fr-n8kcj5wd-elasticsearch-kibana-80dkhd60 | k8s2-fr-q7jh97t3-mushin-basic-analytics-ingress-197m56bh,kong/api-gateway | analyze/basic-analytics-ingress | elasticsearch/kibana-es-cm-ent-01
kong,ingress.kubernetes.io/target-proxy,6,1.0%,6,k8s-tp-kong-api-gateway--0b06ba8d05326855 | k8s2-tp-3583siai-kong-api-gateway-8tt4frcg | k8s2-tp-cbdlf969-kong-api-gateway-5dmshybw | k8s2-tp-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-tp-n8kcj5wd-elasticsearch-kibana-80dkhd60 | k8s2-tp-q7jh97t3-mushin-basic-analytics-ingress-197m56bh,kong/api-gateway | analyze/basic-analytics-ingress | elasticsearch/kibana-es-cm-ent-01
kong,ingress.kubernetes.io/url-map,6,1.0%,6,k8s-um-kong-api-gateway--0b06ba8d05326855 | k8s2-um-3583siai-kong-api-gateway-8tt4frcg | k8s2-um-cbdlf969-kong-api-gateway-5dmshybw | k8s2-um-n3ea0enz-elasticsearch-kibana-es-cm-ent-01-ncz21ljj | k8s2-um-n8kcj5wd-elasticsearch-kibana-80dkhd60 | k8s2-um-q7jh97t3-mushin-basic-analytics-ingress-197m56bh,kong/api-gateway | analyze/basic-analytics-ingress | elasticsearch/kibana-es-cm-ent-01
kong,konghq.com/grpc,6,1.0%,1,true,brokers/brokers-ingress-grpc | mis-rollouts-hub/mis-rollouts-hub-ingress-grpc | brokers/brokers-ingress-grpc
nginx,nginx.ingress.kubernetes.io/cors-allow-origin,6,1.0%,3,"* | https://devcenter-stg.rdstation.com.br,https://devcenter.rds | https://devcenter.rdstation.com.br",fronthub/front-hub-internal-rdops-systems | dev-center-backend/dev-center-api-ingress | dev-center-backend/dev-center-api-ingress
nginx,nginx.ingress.kubernetes.io/auth-realm,6,1.0%,2,Authentication Required | Authentication Required - ipconfig,internaltools/synthetics-app | internaltools/synthetics-app-auth | core/rd-chat-api-tallos
nginx,nginx.ingress.kubernetes.io/auth-secret,6,1.0%,4,ipconfig-basic-auth | synthetics-basic-auth | token-secret-tallos | token-secret-tallos-v000,internaltools/synthetics-app | internaltools/synthetics-app-auth | core/rd-chat-api-tallos
