cluster,namespace,service,type,classificacao,external_ip,backend_configs,annotations_lb
services-gke-usc1-sms-prd-01,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LoadBalancer Internal (L4),10.97.0.35,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal""}"
services-gke-usc1-sms-prd-01,ingress-nginx,nginx-ingress-nginx-controller-metrics,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
services-gke-usc1-sms-prd-01,ingress-nginx,nginx-ingress-nginx-defaultbackend,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
gke-usc1-rd-sre-stg-01,ingress-nginx,nginx-ingress-nginx-controller,LoadBalancer,LB com NEG,35.188.188.55,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
gke-usc1-rd-sre-stg-01,ingress-nginx,nginx-ingress-nginx-controller-admission,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
gke-usc1-rd-sre-stg-01,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LB com NEG,10.239.0.12,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal"", ""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
gke-usc1-rd-sre-stg-01,ingress-nginx,nginx-ingress-nginx-defaultbackend,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,"{""cloud.google.com/neg"": ""{\""ingress\"":true}""}"
cluster-staging,ingress-nginx,nginx-ingress-nginx-controller,LoadBalancer,TCP passthrough,35.184.12.116,nenhum,{}
cluster-staging,ingress-nginx,nginx-ingress-nginx-controller-admission,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
cluster-staging,ingress-nginx,nginx-ingress-nginx-controller-internal,LoadBalancer,LoadBalancer Internal (L4),10.3.96.94,nenhum,"{""cloud.google.com/load-balancer-type"": ""Internal""}"
cluster-staging,ingress-nginx,nginx-ingress-nginx-defaultbackend,ClusterIP,ClusterIP (interno — sem papel na migração),nenhum,nenhum,{}
