cluster,namespace,ingress,spinnaker_app,chart,repo_chart,ingress_class,spinnaker_url,observacao,status_migracao
staging-234557,contact-mgmt,sending-predictions-pls-worker,sending-predictions-pls-worker,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/sending-predictions-pls-worker/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,convert,certmanager-internal,,,,sem-versão,,sem dados no deploy_types,
staging-234557,convert,city-api,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,convert,form-integrations-api,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,convert,form-integrations-api-internal,form,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/form/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,convert,gyruss,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,convert,gyruss-rdops-systems,gyruss,external-secret-0.1.1.tgz,https://github.com/ResultadosDigitais/helm,sem-versão,https://spinnaker.rdops.systems/#/applications/gyruss/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,convert,rd-social-conversion,rd-social-conversion,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-social-conversion/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,crm,automation-engine,,,,sem-versão,,sem dados no deploy_types,
staging-234557,crm,crm-aws-index-html,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/rds-crm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,crm,crm-elastic,,rails,https://github.com/ResultadosDigitais/helm,sem-versão,,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,elasticsearch-crm,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,kibana-crm,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,sidekiq-okta-oauth,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,web-canary,rds-crm,rails,https://github.com/ResultadosDigitais/helm,sem-versão,https://spinnaker.rdops.systems/#/applications/rds-crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,web,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,web-internal,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,web-internal-v2,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,web-sidekiq-oauth,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,crm,web-whitelist,crm,eck-elasticsearch-0.3.0.tgz,https://github.com/ResultadosDigitais/helm,sem-ingress,https://spinnaker.rdops.systems/#/applications/crm/executions,,Pronto — só trocar ingressClassName nos values da app
