cluster,namespace,ingress,spinnaker_app,chart,repo_chart,ingress_class,spinnaker_url,observacao,status_migracao
staging-234557,rms,cap-hook,cap-hook,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/cap-hook/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,rms,contas-staging,saas-internal,rabbitmq-12.6.1.tgz,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/saas-internal/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,rms,financial-panel-api,,,,sem-versão,,sem dados no deploy_types,
staging-234557,rms,partnership,partnership,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/partnership/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,rms,partnership-staging,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,rms,rabbitmq-cluster,saas-internal,rabbitmq-12.6.1,https://github.com/ResultadosDigitais/helm,configurável,https://spinnaker.rdops.systems/#/applications/saas-internal/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,rms,rd-contas-smart-retry-staging,alumni,,,sem-versão,https://spinnaker.rdops.systems/#/applications/alumni/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,rms,subscription-manager-api,subscription-manager-api,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/subscription-manager-api/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,sre,internal-ingress,rails-template,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rails-template/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,sre,sidekiq-dashboard,sidekiq-dashboard,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/sidekiq-dashboard/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,sre,sidekiq-dashboard-oauth,,,,sem-versão,,sem dados no deploy_types,
staging-234557,support,incident-io-ruby-client,incident-io-ruby-client,rails-0.4.18.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/incident-io-ruby-client/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,support,toolbelt,toolbelt,manifesto-inline,,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/toolbelt/executions,manifesto Spinnaker — consultar pipeline para repo,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,support,toolbeltemailstats,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,wpp,wppaddon-api,,,https://github.com/resultadosdigitais/wppaddon-api,sem-versão,,,
